steam_id,total_kills,total_deaths,total_time_played,total_planted_bombs,total_defused_bombs,total_wins,total_damage_done,total_money_earned,total_shots_hit,total_shots_fired,total_rounds_played,total_mvps,total_wins_pistolround,total_matches_won,total_matches_played,total_kills_ak47,total_kills_m4a1,total_kills_awp,total_kills_glock,total_kills_knife,total_kills_hegrenade,kd_ratio,accuracy,win_rate,high_performer,hours_played,damage_per_round,mvp_rate
76561198000000000,31240,26552,4631301,3463,1204,858,3459737,119445146,31347,116473,31393,188,483,858,1537,6497,7588,3234,3119,1323,1128,1.1765148947388242,0.26913302539622574,0.5578673602080624,1,1286.4725,110.20376505064662,0.1222366710013004
76561198000000001,48464,53533,6623110,2970,2973,802,4837092,173858789,56955,282901,50460,155,1112,802,1713,11280,12245,3265,5155,1132,1933,0.9052938319572608,0.2013241334455041,0.4679113185530922,0,1839.7527777777777,95.85802897287013,0.09043173862310384
76561198000000002,16063,15329,2067199,1026,864,430,1926106,53863618,14007,59116,18451,79,441,430,834,3799,2630,1387,2312,535,1002,1.0478147423352904,0.23693692169765043,0.5149700598802395,1,574.2219444444445,104.38467374810318,0.09461077844311377
76561198000000003,82781,93652,6783299,6292,3709,1249,7736309,210386711,90232,460417,80936,305,1556,1249,2708,25907,16455,5341,12709,1810,2947,0.8839118874995996,0.19597843698552186,0.46105574012550754,0,1884.2497222222223,95.58433102289435,0.11258767072720562
76561198000000004,49688,52397,5515279,6535,1878,1040,5196718,105640470,55889,263540,44062,202,925,1040,2155,11560,11921,3632,4574,1310,2636,0.9482804687201801,0.21206946926664164,0.48237476808905383,0,1532.0219444444444,117.93836098313778,0.09369202226345083
76561198000000005,30077,30347,5176054,3508,1583,640,2822077,112232762,35519,159444,34092,83,416,640,1288,7376,6536,2370,4574,883,1874,0.9910702517464083,0.22276647119696447,0.4965089216446858,0,1437.7927777777777,82.77584841463057,0.0643910007757952
76561198000000006,24869,26985,4821761,2062,1137,533,2244081,105981329,23532,114575,28593,100,607,533,1126,6618,5546,1729,3408,609,1115,0.9215519158081968,0.2053833263510683,0.47293700088731144,0,1339.3780555555556,78.48083514023921,0.08873114463176575
76561198000000007,41223,45753,6627851,3990,2063,897,4031986,109575341,47659,238006,40594,153,908,897,1922,11250,7958,2753,5957,950,2158,0.9009704069589544,0.20024200968879066,0.4664586583463339,0,1841.0697222222223,99.32223180194605,0.07956318252730109
76561198000000008,22023,19897,3439871,2309,1005,441,2249862,47841454,18739,74450,20657,60,498,441,825,6818,5121,2075,2261,825,1062,1.1067946527289174,0.2516957461954843,0.5338983050847458,1,955.5197222222222,108.90996224223062,0.07263922518159806
76561198000000009,46173,39577,6481852,5171,1357,963,3983413,172567934,48111,180419,46244,261,937,963,1735,13338,8544,4719,4954,1923,2871,1.1666329779170246,0.2666611240438976,0.5547235023041475,1,1800.5144444444445,86.13716077413774,0.15034562211981567
76561198000000010,42868,41810,4371125,4647,1205,807,5136982,147512088,47998,207500,44185,115,631,807,1588,8581,9661,3573,6421,1361,2702,1.0252804285953456,0.23131454788169695,0.5078665827564506,0,1214.201388888889,116.25813606119586,0.0723725613593455
76561198000000011,17928,17707,2262908,1398,1075,292,2053480,41021999,15140,66374,16543,33,218,292,581,3228,3310,1464,1527,553,943,1.012423763270838,0.22809792843691148,0.5017182130584192,0,628.5855555555555,124.12234042553192,0.05670103092783505
76561198000000012,39806,47561,6720586,7042,1572,936,3691937,171587234,40813,221534,56377,209,815,936,2101,9585,8003,2319,5798,739,2354,0.8369286405113325,0.18422822578825016,0.445290199809705,0,1866.8294444444443,65.48541984462024,0.0994291151284491
76561198000000013,15826,13790,1490494,1605,898,289,1732803,47684855,16516,63065,14614,40,201,289,527,2949,3926,1577,1713,638,809,1.1475600029004422,0.2618843750991025,0.5473484848484849,1,414.0261111111111,118.56332535066713,0.07575757575757576
76561198000000014,23596,23657,3028203,1031,683,393,2381569,79007364,23760,105906,19960,73,435,393,788,6114,5080,1879,3143,703,1104,0.9973793220052414,0.22434777682306176,0.49809885931558934,0,841.1675,119.31110665798306,0.09252217997465145
76561198000000015,6705,5686,731217,315,296,136,724247,15222109,7474,27704,5799,22,140,136,244,1394,1118,696,795,285,409,1.1790047476701249,0.26977079949467603,0.5551020408163265,1,203.11583333333334,124.8701724137931,0.08979591836734693
76561198000000016,5257,5987,908733,895,252,101,595711,14408297,5025,25839,6176,18,150,101,222,1566,966,335,444,112,336,0.8779225116900468,0.19446594427244582,0.452914798206278,0,252.42583333333334,96.44018131779181,0.08071748878923767
76561198000000017,27611,25316,5257631,4159,2074,725,2418076,63742613,24986,100889,29475,172,630,725,1369,6879,6339,2542,3114,1003,1481,1.090611051862385,0.24765586282089405,0.5291970802919708,1,1460.4530555555555,82.03541864567784,0.12554744525547445
76561198000000018,13073,12931,2427095,1738,997,330,1567537,59154863,13270,58270,16086,59,330,330,656,2490,2298,1064,1897,402,518,1.0109031858954531,0.22772905905167237,0.502283105022831,0,674.1930555555556,97.44122583452477,0.0898021308980213
76561198000000019,17503,17214,2190839,2480,894,372,2063415,74943719,14458,63088,19282,65,237,372,737,3305,3474,1439,1776,545,808,1.016729596282312,0.22916831777330438,0.5040650406504065,0,608.5663888888889,107.00694912617331,0.08807588075880758
76561198000000020,26746,24517,3125962,1856,832,524,2885537,50472297,24158,97520,21272,153,386,524,989,7903,4124,2463,3449,972,1302,1.0908720123990538,0.2477210036812584,0.5292929292929293,1,868.3227777777778,135.64316269449537,0.15454545454545454
76561198000000021,29301,29369,3105436,2798,1157,572,3213117,71210546,25782,114887,30166,78,414,572,1146,8916,4184,2334,3219,874,1629,0.9976506639427988,0.22440986003760183,0.4986922406277245,0,862.6211111111111,106.51098882885272,0.06800348735832606
